English,CEFR,gender,word,wordAudio,definition,sentenceAudio,example,sentenceTranslation,oldSentenceToBeDeleted
four,A1,numeral,quattro,X,numero che segue il tre,X,Abbiamo quattro amici a cena.,We have four friends over for dinner.,
that,A1,pronoun,quello,X,pronome che indica persona o cosa lontana,X,Quello è il mio libro.,That's my book.,
here,A1,adverb,qui,X,in questo luogo,X,La mia borsa è qui.,My bag is here.,
fifteen,A1,numeral,quindici,X,numero che segue il quattordici,X,Luca ha quindici euro nel portafoglio.,Luca has fifteen euros in his wallet.,
girl,A1,feminine,ragazza,X,giovane donna,X,La ragazza legge un libro.,The girl reads a book.,
"boy, child",A1,masculine,ragazzo,X,giovane uomo,X,Il ragazzo gioca a calcio.,The boy plays soccer.,
"present, gift",A1,masculine,regalo,X,oggetto dato per affetto o occasione speciale,X,Questo è il mio regalo di compleanno.,This is my birthday present.,
stay,A1,verb,restare,X,rimanere in un luogo o condizione,X,Posso restare qui?,Can I stay here?,
remember,A1,verb,ricordare,X,tenere presente nella memoria,X,Ricordo il tuo nome.,I remember your name.,
rice,A1,masculine,riso,X,cereale commestibile in chicchi,X,Mangio riso con verdure.,I eat rice with vegetables.,
answer,A1,verb,rispondere,X,dare una risposta a una domanda,X,Rispondo al telefono quando squilla.,I answer the phone when it rings.,
answer,A1,feminine,risposta,X,parole con cui si risponde a una domanda,X,La tua risposta è corretta.,Your answer is correct.,
restaurant,A1,masculine,ristorante,X,locale dove si consumano pasti,X,Mangiamo in un ristorante italiano.,We eat in an Italian restaurant.,
red,A1,adjective,rosso,X,di colore del sangue,X,Il vestito è rosso.,The dress is red.,
Saturday,A1,masculine,sabato,X,sesto giorno della settimana,X,Sabato non lavoro.,I don't work on Saturday.,
"go up, board",A1,verb,salire,X,muoversi verso l’alto,X,Salgo sull'autobus alle otto.,I get on the bus at eight.,
hello,A1,interjection,salve,X,saluto formale o neutro,X,"Salve, come va?","Hello, how are you doing?",
know,A1,verb,sapere,X,avere conoscenza o capacità di fare qualcosa,X,Non so la risposta.,I don't know the answer.,
shoe,A1,feminine,scarpa,X,indumento che copre il piede,X,Ho perso una scarpa.,I lost a shoe.,
box,A1,feminine,scatola,X,contenitore rigido per oggetti,X,La scatola è sotto il tavolo.,The box is under the table.,
"go down, get off",A1,verb,scendere,X,muoversi dall’alto verso il basso,X,Scendo le scale con calma.,I go down the stairs calmly.,
write,A1,verb,scrivere,X,tracciare parole o segni con una penna o altro strumento,X,Voglio scrivere una lettera.,I want to write a letter.,
school,A1,feminine,scuola,X,luogo destinato all’istruzione,X,La scuola è grande.,School is great.,
"apology, excuse",A1,feminine,scusa,X,parola usata per chiedere perdono,X,La sua scusa non era convincente.,His excuse wasn't convincing.,
excuse,A1,verb,scusare,X,chiedere perdono per un’offesa,X,Puoi scusare il mio errore?,Can you excuse my mistake?,
sorry,A1,interjection,scusi,X,formula di cortesia per attirare l’attenzione o chiedere scusa,X,"Scusi, posso sedermi qui?","Excuse me, can I sit here?",
if,A1,conjunction,se,X,indica una condizione,X,"Se piove, restiamo a casa.","If it rains, we stay home.",
second,A1,adjective,secondo,X,che occupa la seconda posizione,X,Il secondo piatto è pronto.,The second course is ready.,
chair,A1,feminine,sedia,X,mobile su cui ci si siede,X,La sedia è vicino al tavolo.,The chair is next to the table.,
sixteen,A1,numeral,sedici,X,numero che segue il quindici,X,Ci sono sedici studenti nella classe.,There are sixteen students in the class.,
six,A1,numeral,sei,X,numero che segue il cinque,X,Abbiamo sei gatti in casa.,We have six cats in the house.,
always,A1,adverb,sempre,X,in ogni occasione,X,Lui arriva sempre in ritardo.,He always arrives late.,
"feel, hear, smell",A1,verb,sentire,X,percepire con i sensi o provare emozione,X,Non riesco a sentire la musica.,I can't hear the music.,
without,A1,preposition,senza,X,privo di qualcosa,X,Bevo il caffè senza zucchero.,I drink coffee without sugar.,
serve,A1,verb,servire,X,essere utile o necessario,X,Mi puoi servire un po' d'acqua?,Can you serve me some water?,
sixty,A1,numeral,sessanta,X,numero che corrisponde a sei decine,X,Sessanta persone sono alla festa.,Sixty people are at the party.,
thirst,A1,feminine,sete,X,sensazione che porta a bere,X,Ho sete.,I’m thirsty.,
seventy,A1,numeral,settanta,X,numero che corrisponde a sette decine,X,Ci sono settanta posti in questa sala.,There are seventy seats in this hall.,
seven,A1,numeral,sette,X,numero che segue il sei,X,Ho sette amici a scuola.,I have seven friends at school.,
September,A1,masculine,settembre,X,nono mese dell’anno,X,Settembre è il mese della scuola.,September is the month of school.,
week,A1,feminine,settimana,X,periodo di sette giorni,X,Lavoro tutta la settimana.,I work all week.,
yes,A1,interjection,sì,X,affermazione positiva,X,"Sì, voglio venire con te.","Yes, I want to go with you.",
"lady, madam",A1,feminine,signora,X,donna adulta con titolo di cortesia,X,La signora entra nel negozio.,The lady enters the store.,
"gentleman, sir",A1,masculine,signore,X,uomo adulto con titolo di cortesia,X,Il signore parla con il dottore.,The gentleman is talking to the doctor.,
left,A1,feminine,sinistra,X,lato opposto alla destra,X,Gira a sinistra alla fine della strada.,Turn left at the end of the street.,
money,A1,masculine,soldi,X,mezzi di pagamento in moneta o banconote,X,Ho pochi soldi nel portafoglio.,I have very little money in my wallet.,
sun,A1,masculine,sole,X,stella che illumina la Terra,X,Oggi c'è il sole.,Today it is sunny.,
only,A1,adverb,solo,X,"unicamente, soltanto",X,Voglio stare solo un momento.,I want to be alone for a moment.,
sister,A1,feminine,sorella,X,figlia femmina rispetto ai genitori,X,La mia sorella ha cinque anni.,My sister is five years old.,
under,A1,preposition,sotto,X,in posizione inferiore,X,Il gatto dorme sotto il letto.,The cat sleeps under the bed.,
Spanish,A1,adjective,spagnolo,X,originario della penisola iberica o relativo alla sua lingua,X,Parlo un po' di spagnolo.,I speak a little Spanish.,
"often, a lot",A1,adverb,spesso,X,con frequenza elevata,X,Vado spesso al cinema.,I go to the movies a lot.,
beach,A1,feminine,spiaggia,X,luogo sabbioso vicino al mare,X,La spiaggia è molto bella.,The beach is very beautiful.,
sport,A1,masculine,sport,X,attività fisica o competizione atletica,X,Mi piace fare sport con gli amici.,I like playing sports with friends.,
room,A1,feminine,stanza,X,locale interno di un edificio,X,La stanza è grande e luminosa.,The room is large and bright.,
"stay, be",A1,verb,stare,X,trovarsi in un luogo o condizione,X,Come stai oggi?,How are you doing today?,
"tonight, this evening",A1,adverb,stasera,X,nella sera del giorno presente,X,Stasera mangiamo la pizza.,Tonight we are eating pizza.,
state,A1,masculine,stato,X,condizione giuridica o politica di un paese,X,Roma è lo stato dell'Italia.,Rome is the state of Italy.,
station,A1,feminine,stazione,X,luogo dove fermano e partono i treni,X,La stazione è lontana da qui.,The station is far away from here.,
same,A1,adjective,stesso,X,identico o uguale,X,Ho lo stesso vestito.,I have the same dress.,
"story, history",A1,feminine,storia,X,racconto degli avvenimenti del passato,X,Mi piace la storia.,I like the story.,
street,A1,feminine,strada,X,spazio pubblico per il passaggio di persone o veicoli,X,Questa strada è stretta.,This road is narrow.,
foreign,A1,adjective,straniero,X,proveniente da un altro paese,X,Lui è uno studente straniero.,He is a foreign student.,
student,A1,masculine,studente,X,chi frequenta una scuola o università,X,Lo studente è in classe.,The student is in the classroom.,
study,A1,verb,studiare,X,applicarsi nello studio per imparare,X,Mi piace studiare l'italiano.,I like to study Italian.,
study,A1,masculine,studio,X,luogo dove si lavora o si studia,X,Lo studio è silenzioso.,The studio is silent.,
"up, upstairs",A1,adverb,su,X,verso l’alto o in posizione superiore,X,Il gatto è salito su.,The cat went upstairs.,
on,A1,preposition,su,X,indica argomento o collocazione sopra qualcosa,X,Il libro è su quel tavolo.,The book is on that table.,
"right away, immediately",A1,adverb,subito,X,"immediatamente, senza attesa",X,Arrivo subito!,I'm coming right away!,
juice,A1,masculine,succo,X,bevanda ottenuta dalla spremitura di frutti,X,Bevo un succo d'arancia.,I drink orange juice.,
supermarket,A1,masculine,supermercato,X,negozio grande dove si vendono prodotti alimentari e altri articoli,X,Andiamo al supermercato a fare la spesa.,We're going to the supermarket to do the shopping.,
cup,A1,feminine,tazza,X,recipiente usato per bere,X,Bevo una tazza di caffè.,I drink a cup of coffee.,
tea,A1,masculine,tè,X,bevanda calda ottenuta da foglie infuse,X,Mi piace il tè freddo.,I like the iced tea.,
German,A1,masculine,tedesco,X,proveniente dalla Germania o relativo alla sua lingua,X,Studio il tedesco a scuola.,I study German at school.,
telephone,A1,masculine,telefono,X,apparecchio per comunicare a distanza con la voce,X,Il mio telefono è nuovo.,My phone is new.,
television,A1,feminine,televisione,X,apparecchio che trasmette immagini e suoni,X,Guardo la televisione ogni sera.,I watch television every night.,
"time, weather",A1,masculine,tempo,X,misura del passare delle ore o condizione atmosferica,X,Oggi il tempo è bello.,Today the weather is nice.,
ground,A1,feminine,terra,X,superficie solida del pianeta,X,La terra è sotto i miei piedi.,The ground is under my feet.,
head,A1,feminine,testa,X,parte superiore del corpo che contiene il cervello,X,Mi fa male la testa.,My head hurts.,
type,A1,masculine,tipo,X,categoria o modello di persona o cosa,X,Che tipo di film ti piace?,What kind of movies do you like?,
"go back, return",A1,verb,tornare,X,ritornare a un luogo di partenza,X,Torno a casa dopo la scuola.,I go back home after school.,
"cake, pie, sweet pie",A1,feminine,torta,X,dolce da forno di pasta e crema o frutta,X,Mangio una torta al cioccolato.,I eat a chocolate cake.,
between,A1,preposition,tra,X,indica posizione intermedia fra due elementi,X,Il libro è tra la sedia e il tavolo.,The book is between the chair and the table.,
three,A1,numeral,tre,X,numero che segue il due,X,Tre bambini giocano a calcio.,Three children play soccer.,
thirteen,A1,numeral,tredici,X,numero che segue il dodici,X,Tredici bambini fanno colazione insieme.,Thirteen children are having breakfast together.,
train,A1,masculine,treno,X,mezzo ferroviario per trasporto di persone o merci,X,Il treno arriva alle otto.,The train arrives at eight o'clock.,
thirty,A1,numeral,trenta,X,numero che corrisponde a tre decine,X,Trenta persone partecipano al corso.,Thirty people are attending the course.,
too,A1,adverb,troppo,X,in quantità eccessiva,X,Hai messo troppo zucchero.,You put in too much sugar.,
find,A1,verb,trovare,X,individuare o reperire qualcosa,X,Devo trovare le chiavi.,I have to find the keys.,
you,A1,pronoun,tu,X,pronome personale di seconda persona singolare,X,Tu sei molto gentile.,You are very kind.,
tourist,A1,noun,turista,X,viaggiatore per piacere o visita,X,Il turista visita il museo.,The tourist visits the museum.,
"everything, all",A1,pronoun,tutto,X,tutto ciò senza eccezioni,X,Tutto è pronto per la festa.,Everything is ready for the party.,
office,A1,masculine,ufficio,X,luogo dove si svolge un lavoro amministrativo,X,Mio padre lavora in un ufficio.,My father works in an office.,
a,A1,article,un,X,articolo indeterminativo maschile singolare,X,Ho un gatto.,I have a cat.,
a,A1,article,una,X,articolo indeterminativo femminile singolare,X,Ho una macchina rossa.,I have a red car.,
eleven,A1,numeral,undici,X,numero che segue il dieci,X,Ho undici amici su WhatsApp.,I have eleven friends on WhatsApp.,
one,A1,numeral,uno,X,numero cardinale iniziale,X,Uno studente è in ritardo.,A student is late.,
man,A1,masculine,uomo,X,maschio adulto della specie umana,X,L'uomo parla con il bambino.,The man talks to the child.,
egg,A1,masculine,uovo,X,prodotto della gallina racchiuso nel guscio,X,Mangio un uovo a colazione.,I eat an egg for breakfast.,
use,A1,verb,usare,X,adoperare uno strumento o mezzo,X,Posso usare il tuo computer?,Can I use your computer?,
"go out, exit",A1,verb,uscire,X,andare fuori da un luogo,X,Vogliamo uscire con gli amici domani.,We want to go out with friends tomorrow.,
exit,A1,masculine,uscita,X,luogo da cui si esce,X,L'uscita è a destra.,The exit is to the right.,
"grape, grapes",A1,feminine,uva,X,frutto in grappoli di una pianta da vino,X,Mangio l'uva dopo cena.,I eat grapes after dinner.,
"vacation, holiday",A1,feminine,vacanza,X,periodo di riposo dal lavoro o dallo studio,X,In vacanza andiamo al mare.,"On vacation, we go to the sea.",
suitcase,A1,feminine,valigia,X,contenitore portatile per abiti e oggetti durante i viaggi,X,La mia valigia è pesante.,My suitcase is heavy.,
old,A1,adjective,vecchio,X,che ha molta età,X,Il mio cane è vecchio.,My dog is old.,
see,A1,verb,vedere,X,percepire con gli occhi,X,Vedo un gatto sul tetto.,I see a cat on the roof.,
sell,A1,verb,vendere,X,cedere in cambio di denaro,X,Vendo frutta al mercato.,I sell fruit at the market.,
Friday,A1,masculine,venerdì,X,sesto giorno della settimana lavorativa,X,Venerdì andiamo al cinema.,We are going to the cinema on Friday.,
come,A1,verb,venire,X,giungere da un altro luogo,X,Vieni con me al parco?,Will you come with me to the park?,
twenty,A1,numeral,venti,X,numero che corrisponde a due decine,X,Ho venti euro.,I have twenty euros.,
twenty-five,A1,numeral,venticinque,X,numero che segue il ventiquattro,X,Ci sono venticinque domande nel test.,There are twenty-five questions on the test.,
twenty-two,A1,numeral,ventidue,X,numero che segue il ventuno,X,Oggi è il ventidue marzo.,Today is the twenty-second of March.,
twenty-nine,A1,numeral,ventinove,X,numero che segue il ventotto,X,Ci sono ventinove studenti in classe.,There are twenty-nine students in the classroom.,
twenty-four,A1,numeral,ventiquattro,X,numero che segue il ventitré,X,Abbiamo ventiquattro ore per finire il lavoro.,We have twenty-four hours to finish the job.,
twenty-six,A1,numeral,ventisei,X,numero che segue il venticinque,X,Lui ha ventisei anni.,He is twenty-six years old.,
twenty-seven,A1,numeral,ventisette,X,numero che segue il ventisei,X,Ci sono ventisette sedie nel giardino.,There are twenty-seven chairs in the garden.,
twenty-three,A1,numeral,ventitré,X,numero che segue il ventidue,X,Leggo ventitré pagine ogni giorno.,I read twenty-three pages every day.,
twenty-eight,A1,numeral,ventotto,X,numero che segue il ventisette,X,Ventotto studenti sono in aula.,Twenty-eight students are in the classroom.,
twenty-one,A1,numeral,ventuno,X,numero che segue il venti,X,Ci sono ventuno libri sullo scaffale.,There are twenty-one books on the shelf.,
green,A1,adjective,verde,X,di colore della vegetazione fresca,X,Mi piace il vestito verde.,I like the green dress.,
vegetable,A1,feminine,verdura,X,insieme di ortaggi commestibili,X,Mangio verdura ogni giorno.,I eat vegetables every day.,
"real, true",A1,adjective,vero,X,corrispondente al reale o al vero,X,È una storia vera.,It's a true story.,
"clothes, clothing",A1,masculine,vestiti,X,indumenti in generale,X,I vestiti sono nell'armadio.,The clothes are in the closet.,
dress,A1,masculine,vestito,X,abito o capo d’abbigliamento,X,Il vestito è blu.,The dress is blue.,
road,A1,feminine,via,X,strada cittadina,X,Abito in una via tranquilla.,I live on a quiet street.,
away,A1,adverb,via,X,allontanandosi da un luogo,X,Il gatto corre via quando sente un rumore.,The cat runs away when it hears a noise.,
travel,A1,verb,viaggiare,X,spostarsi in un luogo diverso per turismo o lavoro,X,Mi piace viaggiare in treno.,I like to travel by train.,
"trip, journey",A1,masculine,viaggio,X,"spostamento fatto per turismo, studio o lavoro",X,Il viaggio in treno è lungo.,The train trip is long.,
neighbor,A1,masculine,vicino,X,persona che abita non lontano,X,Il mio vicino è molto gentile.,My neighbor is very kind.,
"near, close",A1,adjective,vicino,X,posto non distante,X,La scuola è vicino a casa mia.,The school is near my house.,
life,A1,feminine,vita,X,esistenza di un essere vivente,X,La vita è bella.,Life is beautiful.,
live,A1,verb,vivere,X,avere vita o esistenza,X,Vivo in Italia.,I live in Italy.,
desire,A1,feminine,voglia,X,desiderio o inclinazione a fare qualcosa,X,Ho voglia di un gelato.,I feel like having an ice cream.,
you,A1,pronoun,voi,X,pronome personale di seconda persona plurale,X,Voi parlate italiano?,Do you speak Italian?,
want,A1,verb,volere,X,desiderare qualcosa,X,Voglio un gelato.,I want an ice cream.,
"time, instance",A1,feminine,volta,X,occasione o momento determinato,X,È la prima volta che vengo qui.,This is my first time here.,
zero,A1,numeral,zero,X,numero che rappresenta l’assenza di quantità,X,Zero gradi fa molto freddo.,Zero degrees is very cold.,
aunt,A1,feminine,zia,X,sorella del padre o della madre,X,La zia cucina molto bene.,Auntie cooks very well.,
uncle,A1,masculine,zio,X,fratello del padre o della madre,X,Lo zio lavora in banca.,Uncle works in the bank.,
zoo,A1,masculine,zoo,X,luogo dove si tengono animali selvatici per mostra al pubblico,X,Andiamo allo zoo a vedere gli animali.,We're going to the zoo to see the animals.,
sugar,A1,masculine,zucchero,X,sostanza dolce ottenuta dalla canna o dalla barbabietola,X,Metto lo zucchero nel caffè.,I put sugar in my coffee.,
because of,A2,preposition,a causa di,,per indicare la causa di qualcosa,,Siamo arrivati in ritardo a causa del traffico.,We arrived late because of the traffic.,
by the way,A2,expression,a proposito,,introduce un argomento collegato a ciò che si dice,,"A proposito, hai sentito la notizia?","By the way, did you hear the news?",
out loud,A2,adverb,a voce,,parlando senza scrivere,,Leggi il testo a voce.,Read the text out loud.,
sometimes,A2,adverb,a volte,,in alcune occasioni,,A volte mangiamo fuori con gli amici.,Sometimes we eat out with friends.,
lower,A2,verb,abbassare,,portare verso il basso,,"Puoi abbassare un po' la musica, per favore?","Can you lower the music a bit, please?",
"enough, quite",A2,adverb,abbastanza,,in misura sufficiente,,La pizza è abbastanza buona.,The pizza is quite good.,
"outfit, attire",A2,masculine,abbigliamento,,insieme di vestiti e accessori,,Il mio abbigliamento oggi è sportivo.,My outfit today is sporty.,
"hug, embrace",A2,verb,abbracciare,,stringere qualcuno con le braccia,,Mi piace abbracciare i miei amici quando li incontro.,I like to hug my friends when I meet them.,
"hug, embrace",A2,masculine,abbraccio,,atto di stringere qualcuno con le braccia,,L’abbraccio di mia madre mi fa sentire meglio.,My mother’s hug makes me feel better.,
habit,A2,feminine,abitudine,,modo di comportarsi acquisito con la ripetizione,,Ho l'abitudine di bere tè ogni mattina.,I have the habit of drinking tea every morning.,
next to,A2,preposition,accanto,,in posizione adiacente,,Il gatto dorme accanto al camino.,The cat sleeps next to the fireplace.,
accent,A2,masculine,accento,,particolare modo di pronunciare le parole,,Il suo accento è difficile da capire.,His accent is hard to understand.,
"ignited, turned on",A2,adjective,acceso,,che emette luce o non è spento,,La lampada è già accesa nella stanza.,The lamp is already turned on in the room.,
acceptable,A2,adjective,accettabile,,che può essere accettato,,La tua risposta è accettabile per questo esercizio.,Your answer is acceptable for this exercise.,
accept,A2,verb,accettare,,dichiarare di ricevere favorevolmente,,Posso accettare il tuo aiuto con piacere.,I can gladly accept your help.,
darn it,A2,interjection,accidenti,,esclamazione di sorpresa o disappunto,,"Accidenti, ho dimenticato le chiavi a casa!","Darn it, I forgot the keys at home!",
gathering,A2,feminine,accolta,,ricevimento o accoglienza di persone,,L'accolta di firme per il progetto è andata bene.,The signature gathering for the project went well.,
agreement,A2,masculine,accordo,,intesa o intesa formale tra parti,,Abbiamo trovato un accordo.,We have come to an agreement.,
vinegar,A2,masculine,aceto,,liquido acidulo ottenuto dalla fermentazione del vino,,L'aceto balsamico è perfetto per l'insalata.,Balsamic vinegar is perfect for salad.,
aquarium,A2,masculine,acquario,,vasca o struttura per tenere pesci e altri animali acquatici,,Siamo andati all'acquario per vedere i pesci colorati.,We went to the aquarium to see the colorful fish.,
for example,A2,adverb,ad esempio,,introduce un esempio chiarificatore,,"Ci sono molti frutti, ad esempio mele e pere.","There are many fruits, for example apples and pears.",
adore,A2,verb,adorare,,amare intensamente o con devozione,,Adoro il gelato al pistacchio.,I adore pistachio ice cream.,
rent,A2,verb,affittare,,concedere in uso qualcosa dietro pagamento,,Vogliamo affittare una casa in montagna per le vacanze.,We want to rent a house in the mountains for the holidays.,
rent,A2,masculine,affitto,,somma di denaro pagata per l’uso di un bene,,L'affitto di questo appartamento è molto alto.,The rent for this apartment is very high.,
adjective,A2,masculine,aggettivo,,parte del discorso che qualifica un nome,,L'aggettivo deve concordare con il nome in genere e numero.,The adjective must agree with the noun in gender and number.,
add,A2,verb,aggiungere,,aggiungere un elemento a ciò che già c’è,,Devo aggiungere il sale alla zuppa.,I need to add salt to the soup.,
garlic,A2,masculine,aglio,,pianta bulbosa dal sapore forte usata in cucina,,Non mi piace l'aglio nella pasta.,I don't like garlic in pasta.,
dawn,A2,feminine,alba,,momento in cui sorge il sole,,Ci svegliamo presto per vedere l'alba al mare.,We wake up early to see the sunrise by the sea.,
alcohol,A2,masculine,alcol,,bevanda ricavata dalla fermentazione di sostanze zuccherine,,Bere troppo alcol fa male alla salute.,Drinking too much alcohol is bad for your health.,
allergy,A2,feminine,allergia,,reazione dell’organismo a una sostanza estranea,,Ha un'allergia al polline.,He has an allergy to pollen.,
allergic,A2,adjective,allergico,,che soffre di allergia,,Sono allergico al latte.,I'm allergic to milk.,
student,A2,masculine,allievo,,studente in formazione sotto un maestro,,L'allievo studia per l'esame di matematica.,The student is studying for the math exam.,
"then, well",A2,adverb,allora,,"dunque, in quel momento",,Allora andiamo al cinema?,Shall we go to the movies then?,
height,A2,feminine,altezza,,misura verticale di una persona o cosa,,La torre ha un’altezza di trenta metri.,The tower has a height of thirty meters.,
"student, pupil",A2,masculine,alunno,,studente di una scuola,,Ogni alunno ha un libro.,Every pupil has a book.,
"lift, raise",A2,verb,alzare,,portare verso l’alto,,Devo alzare la mano per fare una domanda.,I have to raise my hand to ask a question.,
bitter,A2,adjective,amaro,,che ha sapore acre e non dolce,,Il caffè senza zucchero è troppo amaro per me.,Coffee without sugar is too bitter for me.,
friend,A2,feminine,amica,,donna legata da rapporto di confidenza,,La mia amica abita vicino a casa mia.,My friend lives near my house.,
friendship,A2,feminine,amicizia,,sentimento di affetto reciproco,,L'amicizia è molto importante per me.,Friendship is very important to me.,
pet,A2,masculine,animale domestico,,animale allevato e tenuto in casa per compagnia,,Il mio animale domestico è un cane molto simpatico.,My pet is a very friendly dog.,
anniversary,A2,masculine,anniversario,,ricorrenza annuale di un evento importante,,Festeggiamo il nostro anniversario di matrimonio.,We're celebrating our wedding anniversary.,
bored,A2,adjective,annoiato,,che prova noia,,Mi sento un po' annoiato quando non ho niente da fare.,I feel a little bored when I have nothing to do.,
"old, ancient",A2,adjective,antico,,che appartiene a tempi lontani,,Questo edificio è molto antico.,This building is very old.,
appetizer,A2,masculine,antipasto,,piccolo piatto servito prima del pasto principale,,Mangiamo un antipasto prima del primo piatto.,We eat an appetizer before the first course.,
bee,A2,feminine,ape,,insetto produttore di miele,,L'ape vola da un fiore all'altro.,The bee flies from one flower to another.,
apéritif,A2,masculine,aperitivo,,bevanda leggera consumata prima dei pasti,,Prendiamo un aperitivo prima di cena.,We're having an apéritif before dinner.,
"as soon as, just",A2,adverb,appena,,in un momento immediatamente precedente o successivo,,Sono appena arrivato a casa.,I just arrived home.,
appetite,A2,masculine,appetito,,sensazione di desiderio di cibo,,Dopo la corsa ho tanto appetito.,After running I have a big appetite.,
rainbow,A2,masculine,arcobaleno,,fenomeno ottico con archi colorati nel cielo,,Dopo la pioggia è apparso un bell'arcobaleno.,"After the rain, a beautiful rainbow appeared.",
"argument, subject, topic",A2,masculine,argomento,,tema di un discorso o testo,,Abbiamo parlato di un argomento interessante durante la lezione.,We talked about an interesting topic during the lesson.,
air,A2,feminine,aria,,miscela gassosa che forma l’atmosfera terrestre,,C'è poca aria in questa stanza.,There is little air in this room.,
closet,A2,masculine,armadio,,mobile con ante per riporre vestiti o oggetti,,Ho messo i vestiti nell'armadio nuovo.,I put the clothes in the new wardrobe.,
art,A2,feminine,arte,,produzione creativa di valore estetico,,Mi piace studiare l'arte italiana.,I like to study Italian art.,
article,A2,masculine,articolo,,parte del discorso che accompagna un nome,,Ho letto un articolo interessante.,I read an interesting article.,
towel,A2,masculine,asciugamano,,tessuto usato per asciugarsi,,Prendo un asciugamano pulito dal bagno.,I take a clean towel from the bathroom.,
dry,A2,verb,asciugare,,togliere l’umidità da qualcosa,,Devo asciugare i piatti dopo cena.,I have to dry the dishes after dinner.,
listening,A2,masculine,ascolto,,atto di ascoltare,,L’ascolto è importante per capire bene una lingua.,Listening is important to understand a language well.,
"daycare, asylum",A2,masculine,asilo,,struttura che ospita bambini piccoli,,Mio fratello lavora in un asilo con tanti bambini.,My brother works in a daycare with many children.,
donkey,A2,masculine,asino,,animale domestico simile al cavallo ma più piccolo,,L'asino cammina lentamente nel campo.,The donkey walks slowly in the field.,
"attach, attack",A2,verb,attaccare,,unire con forza a qualcosa,,Il gatto ha cercato di attaccare il cane.,The cat tried to attack the dog.,
careful,A2,adjective,attento,,che presta grande cura e concentrazione,,Devi essere attento quando attraversi la strada.,You have to be careful when crossing the street.,
attention,A2,feminine,attenzione,,concentrazione della mente su qualcosa,,Fai attenzione quando attraversi la strada.,Be careful when crossing the street.,
activity,A2,feminine,attività,,insieme organizzato di compiti o lavori,,L'attività di oggi è facile e veloce.,Today's activity is quick and easy.,
active,A2,adjective,attivo,,che agisce con energia e iniziativa,,Mio nonno è ancora molto attivo nonostante l'età.,My grandfather is still very active despite his age.,
actor,A2,masculine,attore,,interprete maschile di opere teatrali o cinematografiche,,Quell'attore è molto famoso in Italia.,That actor is very famous in Italy.,
cross,A2,verb,attraversare,,passare da una parte all’altra di uno spazio o ostacolo,,Dobbiamo attraversare la strada con attenzione.,We need to cross the street carefully.,
through,A2,preposition,attraverso,,da un lato all’altro,,Camminiamo attraverso il parco per arrivare a scuola.,We walk through the park to get to school.,
increase,A2,verb,aumentare,,rendere maggiore una quantità,,Il prezzo del biglietto può aumentare in estate.,The ticket price can increase in the summer.,
automatic,A2,adjective,automatico,,che funziona senza intervento umano diretto,,Questo sportello ha un sistema automatico di apertura.,This counter has an automatic opening system.,
adventure,A2,feminine,avventura,,esperienza insolita e rischiosa,,C’è stata un’avventura divertente durante il viaggio.,There was a fun adventure during the trip.,
"warn, alert",A2,verb,avvisare,,informare qualcuno di un fatto,,Devo avvisare Marco che siamo in ritardo.,I need to warn Marco that we’re late.,
"warning, alert",A2,masculine,avviso,,comunicazione ufficiale o avvertimento,,Ho ricevuto un avviso importante dalla scuola.,I received an important notice from the school.,
lawyer,A2,masculine,avvocato,,professionista della legge che difende in tribunale,,L'avvocato ci ha spiegato tutto chiaramente.,The lawyer explained everything to us clearly.,
kiss,A2,verb,baciare,,toccare con le labbra per affetto,,Luca vuole baciare la sua ragazza sotto la pioggia.,Luca wants to kiss his girlfriend in the rain.,
kiss,A2,masculine,bacio,,atto di toccare con le labbra per affetto,,Il bacio tra i due attori è stato molto romantico.,The kiss between the two actors was very romantic.,
mustache,A2,masculine,baffi,,peli sul labbro superiore degli uomini,,Mio zio ha dei baffi molto lunghi.,My uncle has a very long mustache.,
baggage,A2,masculine,bagaglio,,insieme di valigie e oggetti da viaggio,,Ho messo il bagaglio in macchina prima di partire.,I put the baggage in the car before leaving.,
wet,A2,verb,bagnare,,coprire con acqua o altro liquido,,La pioggia ha bagnato tutti i vestiti stesi fuori.,The rain soaked all the clothes hanging outside.,
wet,A2,adjective,bagnato,,ricoperto d’acqua o umidità,,"Il pavimento è ancora bagnato, fai attenzione.","The floor is still wet, be careful.",
balcony,A2,masculine,balcone,,sporgenza esterna di un edificio con ringhiera,,Siamo usciti sul balcone per guardare il tramonto.,We went out onto the balcony to watch the sunset.,
doll,A2,feminine,bambola,,giocattolo a forma di figura umana femminile,,La bambola nuova ha i capelli biondi e un vestito rosso.,The new doll has blond hair and a red dress.,
counter,A2,masculine,banco,,tavolo lungo o banco di lavoro o di scuola,,Ho dimenticato il mio libro sul banco.,I forgot my book on the counter.,
ATM,A2,masculine,bancomat,,sportello automatico per operazioni bancarie,,Ho preso dei soldi al bancomat prima di uscire.,I got some money from the ATM before I left.,
flag,A2,feminine,bandiera,,tessuto colorato simbolo di una nazione,,"La bandiera italiana è verde, bianca e rossa.","The Italian flag is green, white and red.",
beard,A2,feminine,barba,,insieme di peli che crescono sul viso maschile,,L’uomo con la barba lavora in ufficio.,The man with the beard works in an office.,
boat,A2,feminine,barca,,imbarcazione di piccole o medie dimensioni,,Siamo andati in barca sul lago.,We went boating on the lake.,
